dataset,model,sample_id,task_type,correct_format_count,correct_formats,oracle_correct,sheetflex_correct,correct_latex,correct_markdown,correct_json_cells,correct_json_rows,correct_image,correct_excel_1_image
realhit,Qwen3.5-9B,60,Fact Checking,5,latex+markdown+json_cells+image+excel_1_image,True,True,True,True,True,False,True,True
realhit,Qwen3.5-9B,63,Fact Checking,4,json_cells+json_rows+image+excel_1_image,True,True,False,False,True,True,True,True
realhit,Qwen3.5-9B,64,Fact Checking,1,json_rows,True,False,False,False,False,True,False,False
realhit,Qwen3.5-9B,65,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,68,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,69,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,70,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,73,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,74,Fact Checking,5,latex+markdown+json_rows+image+excel_1_image,True,True,True,True,False,True,True,True
realhit,Qwen3.5-9B,75,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,78,Numerical Reasoning,3,latex+markdown+excel_1_image,True,True,True,True,False,False,False,True
realhit,Qwen3.5-9B,79,Numerical Reasoning,1,latex,True,False,True,False,False,False,False,False
realhit,Qwen3.5-9B,80,Fact Checking,4,latex+json_cells+image+excel_1_image,True,True,True,False,True,False,True,True
realhit,Qwen3.5-9B,83,Fact Checking,3,latex+markdown+json_cells,True,True,True,True,True,False,False,False
realhit,Qwen3.5-9B,84,Fact Checking,4,latex+markdown+json_cells+excel_1_image,True,True,True,True,True,False,False,True
realhit,Qwen3.5-9B,85,Fact Checking,5,latex+markdown+json_cells+json_rows+excel_1_image,True,True,True,True,True,True,False,True
realhit,Qwen3.5-9B,88,Fact Checking,0,none,False,False,False,False,False,False,False,False
realhit,Qwen3.5-9B,89,Fact Checking,4,latex+json_cells+json_rows+image,True,True,True,False,True,True,True,False
realhit,Qwen3.5-9B,90,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,92,Fact Checking,0,none,False,False,False,False,False,False,False,False
realhit,Qwen3.5-9B,93,Numerical Reasoning,5,latex+markdown+json_cells+json_rows+image,True,True,True,True,True,True,True,False
realhit,Qwen3.5-9B,94,Numerical Reasoning,5,latex+json_cells+json_rows+image+excel_1_image,True,True,True,False,True,True,True,True
realhit,Qwen3.5-9B,96,Numerical Reasoning,0,none,False,False,False,False,False,False,False,False
realhit,Qwen3.5-9B,97,Fact Checking,5,latex+markdown+json_cells+json_rows+excel_1_image,True,True,True,True,True,True,False,True
realhit,Qwen3.5-9B,98,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,99,Numerical Reasoning,3,markdown+json_cells+json_rows,True,True,False,True,True,True,False,False
realhit,Qwen3.5-9B,101,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,102,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,103,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,104,Fact Checking,5,latex+markdown+json_cells+json_rows+excel_1_image,True,True,True,True,True,True,False,True
realhit,Qwen3.5-9B,106,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,107,Numerical Reasoning,0,none,False,False,False,False,False,False,False,False
realhit,Qwen3.5-9B,108,Numerical Reasoning,0,none,False,False,False,False,False,False,False,False
realhit,Qwen3.5-9B,111,Fact Checking,0,none,False,False,False,False,False,False,False,False
realhit,Qwen3.5-9B,112,Fact Checking,5,latex+markdown+json_cells+image+excel_1_image,True,True,True,True,True,False,True,True
realhit,Qwen3.5-9B,113,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,115,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,116,Numerical Reasoning,3,markdown+json_cells+image,True,True,False,True,True,False,True,False
realhit,Qwen3.5-9B,117,Fact Checking,5,latex+markdown+json_cells+json_rows+image,True,True,True,True,True,True,True,False
realhit,Qwen3.5-9B,118,Numerical Reasoning,0,none,False,False,False,False,False,False,False,False
realhit,Qwen3.5-9B,119,Fact Checking,5,latex+markdown+json_cells+json_rows+excel_1_image,True,True,True,True,True,True,False,True
realhit,Qwen3.5-9B,120,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,121,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,124,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,125,Numerical Reasoning,5,latex+markdown+json_cells+json_rows+excel_1_image,True,True,True,True,True,True,False,True
realhit,Qwen3.5-9B,126,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,127,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,131,Numerical Reasoning,4,latex+json_cells+image+excel_1_image,True,True,True,False,True,False,True,True
realhit,Qwen3.5-9B,132,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,133,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,134,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,135,Fact Checking,5,markdown+json_cells+json_rows+image+excel_1_image,True,True,False,True,True,True,True,True
realhit,Qwen3.5-9B,136,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,137,Fact Checking,3,latex+markdown+json_cells,True,True,True,True,True,False,False,False
realhit,Qwen3.5-9B,140,Fact Checking,5,latex+markdown+json_cells+image+excel_1_image,True,True,True,True,True,False,True,True
realhit,Qwen3.5-9B,141,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,142,Fact Checking,3,latex+json_cells+excel_1_image,True,True,True,False,True,False,False,True
realhit,Qwen3.5-9B,145,Fact Checking,4,markdown+json_rows+image+excel_1_image,True,True,False,True,False,True,True,True
realhit,Qwen3.5-9B,146,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,147,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,149,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,150,Fact Checking,4,markdown+json_cells+json_rows+image,True,True,False,True,True,True,True,False
realhit,Qwen3.5-9B,151,Fact Checking,5,latex+markdown+json_cells+image+excel_1_image,True,True,True,True,True,False,True,True
realhit,Qwen3.5-9B,152,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,155,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,156,Numerical Reasoning,5,latex+markdown+json_cells+json_rows+excel_1_image,True,True,True,True,True,True,False,True
realhit,Qwen3.5-9B,157,Numerical Reasoning,5,latex+markdown+json_cells+image+excel_1_image,True,True,True,True,True,False,True,True
realhit,Qwen3.5-9B,160,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,161,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,162,Numerical Reasoning,1,latex,True,False,True,False,False,False,False,False
realhit,Qwen3.5-9B,163,Fact Checking,5,latex+json_cells+json_rows+image+excel_1_image,True,True,True,False,True,True,True,True
realhit,Qwen3.5-9B,164,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,167,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,168,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,169,Numerical Reasoning,0,none,False,False,False,False,False,False,False,False
realhit,Qwen3.5-9B,172,Fact Checking,3,json_cells+json_rows+image,True,True,False,False,True,True,True,False
realhit,Qwen3.5-9B,173,Fact Checking,5,latex+markdown+json_cells+json_rows+excel_1_image,True,True,True,True,True,True,False,True
realhit,Qwen3.5-9B,174,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,175,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,177,Fact Checking,1,excel_1_image,True,False,False,False,False,False,False,True
realhit,Qwen3.5-9B,178,Fact Checking,2,json_rows+excel_1_image,True,False,False,False,False,True,False,True
realhit,Qwen3.5-9B,179,Fact Checking,4,json_cells+json_rows+image+excel_1_image,True,True,False,False,True,True,True,True
realhit,Qwen3.5-9B,180,Fact Checking,2,markdown+excel_1_image,True,False,False,True,False,False,False,True
realhit,Qwen3.5-9B,182,Fact Checking,3,markdown+json_cells+json_rows,True,True,False,True,True,True,False,False
realhit,Qwen3.5-9B,183,Fact Checking,4,latex+markdown+json_cells+json_rows,True,True,True,True,True,True,False,False
realhit,Qwen3.5-9B,184,Fact Checking,4,latex+markdown+json_cells+json_rows,True,True,True,True,True,True,False,False
realhit,Qwen3.5-9B,185,Fact Checking,5,latex+markdown+json_cells+json_rows+image,True,True,True,True,True,True,True,False
realhit,Qwen3.5-9B,187,Fact Checking,4,latex+markdown+image+excel_1_image,True,True,True,True,False,False,True,True
realhit,Qwen3.5-9B,188,Fact Checking,5,latex+markdown+json_cells+image+excel_1_image,True,True,True,True,True,False,True,True
realhit,Qwen3.5-9B,189,Fact Checking,4,latex+markdown+image+excel_1_image,True,True,True,True,False,False,True,True
realhit,Qwen3.5-9B,190,Numerical Reasoning,5,latex+json_cells+json_rows+image+excel_1_image,True,True,True,False,True,True,True,True
realhit,Qwen3.5-9B,191,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,192,Numerical Reasoning,0,none,False,False,False,False,False,False,False,False
realhit,Qwen3.5-9B,193,Numerical Reasoning,3,latex+markdown+json_cells,True,True,True,True,True,False,False,False
realhit,Qwen3.5-9B,194,Numerical Reasoning,5,latex+markdown+json_rows+image+excel_1_image,True,True,True,True,False,True,True,True
realhit,Qwen3.5-9B,197,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,198,Fact Checking,3,latex+image+excel_1_image,True,True,True,False,False,False,True,True
realhit,Qwen3.5-9B,199,Fact Checking,3,latex+json_rows+image,True,True,True,False,False,True,True,False
realhit,Qwen3.5-9B,202,Numerical Reasoning,4,latex+json_cells+json_rows+excel_1_image,True,True,True,False,True,True,False,True
realhit,Qwen3.5-9B,203,Fact Checking,2,json_cells+json_rows,True,True,False,False,True,True,False,False
realhit,Qwen3.5-9B,204,Fact Checking,3,latex+markdown+json_rows,True,True,True,True,False,True,False,False
realhit,Qwen3.5-9B,207,Numerical Reasoning,5,latex+markdown+json_rows+image+excel_1_image,True,True,True,True,False,True,True,True
realhit,Qwen3.5-9B,208,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,209,Numerical Reasoning,0,none,False,False,False,False,False,False,False,False
realhit,Qwen3.5-9B,211,Numerical Reasoning,5,latex+json_cells+json_rows+image+excel_1_image,True,True,True,False,True,True,True,True
realhit,Qwen3.5-9B,212,Fact Checking,5,latex+markdown+json_cells+json_rows+excel_1_image,True,True,True,True,True,True,False,True
realhit,Qwen3.5-9B,213,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,216,Numerical Reasoning,5,latex+json_cells+json_rows+image+excel_1_image,True,True,True,False,True,True,True,True
realhit,Qwen3.5-9B,217,Numerical Reasoning,3,latex+image+excel_1_image,True,True,True,False,False,False,True,True
realhit,Qwen3.5-9B,218,Numerical Reasoning,1,image,True,False,False,False,False,False,True,False
realhit,Qwen3.5-9B,221,Numerical Reasoning,3,json_cells+json_rows+excel_1_image,True,True,False,False,True,True,False,True
realhit,Qwen3.5-9B,222,Numerical Reasoning,4,latex+json_cells+image+excel_1_image,True,True,True,False,True,False,True,True
realhit,Qwen3.5-9B,225,Numerical Reasoning,4,latex+markdown+json_cells+json_rows,True,True,True,True,True,True,False,False
realhit,Qwen3.5-9B,226,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,227,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,228,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,229,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,230,Numerical Reasoning,2,markdown+image,True,False,False,True,False,False,True,False
realhit,Qwen3.5-9B,231,Fact Checking,3,markdown+image+excel_1_image,True,True,False,True,False,False,True,True
realhit,Qwen3.5-9B,232,Fact Checking,1,json_rows,True,False,False,False,False,True,False,False
realhit,Qwen3.5-9B,233,Fact Checking,0,none,False,False,False,False,False,False,False,False
realhit,Qwen3.5-9B,236,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,237,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,238,Numerical Reasoning,1,latex,True,False,True,False,False,False,False,False
realhit,Qwen3.5-9B,239,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,240,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,243,Fact Checking,5,latex+markdown+json_cells+json_rows+excel_1_image,True,True,True,True,True,True,False,True
realhit,Qwen3.5-9B,244,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,245,Numerical Reasoning,0,none,False,False,False,False,False,False,False,False
realhit,Qwen3.5-9B,246,Numerical Reasoning,0,none,False,False,False,False,False,False,False,False
realhit,Qwen3.5-9B,249,Numerical Reasoning,5,latex+markdown+json_cells+json_rows+excel_1_image,True,True,True,True,True,True,False,True
realhit,Qwen3.5-9B,250,Numerical Reasoning,5,latex+markdown+json_cells+json_rows+excel_1_image,True,True,True,True,True,True,False,True
realhit,Qwen3.5-9B,251,Fact Checking,5,latex+markdown+json_cells+json_rows+excel_1_image,True,True,True,True,True,True,False,True
realhit,Qwen3.5-9B,252,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,253,Numerical Reasoning,1,excel_1_image,True,False,False,False,False,False,False,True
realhit,Qwen3.5-9B,254,Numerical Reasoning,4,latex+json_cells+json_rows+excel_1_image,True,True,True,False,True,True,False,True
realhit,Qwen3.5-9B,255,Numerical Reasoning,4,markdown+json_cells+json_rows+excel_1_image,True,True,False,True,True,True,False,True
realhit,Qwen3.5-9B,258,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,259,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,260,Fact Checking,3,latex+json_rows+image,True,True,True,False,False,True,True,False
realhit,Qwen3.5-9B,263,Numerical Reasoning,3,json_cells+image+excel_1_image,True,True,False,False,True,False,True,True
realhit,Qwen3.5-9B,264,Numerical Reasoning,5,markdown+json_cells+json_rows+image+excel_1_image,True,True,False,True,True,True,True,True
realhit,Qwen3.5-9B,266,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,267,Fact Checking,5,latex+json_cells+json_rows+image+excel_1_image,True,True,True,False,True,True,True,True
realhit,Qwen3.5-9B,268,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,269,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,270,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,271,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,272,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,273,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,274,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,277,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,278,Numerical Reasoning,0,none,False,False,False,False,False,False,False,False
realhit,Qwen3.5-9B,281,Fact Checking,1,image,True,False,False,False,False,False,True,False
realhit,Qwen3.5-9B,283,Numerical Reasoning,0,none,False,False,False,False,False,False,False,False
realhit,Qwen3.5-9B,284,Numerical Reasoning,1,json_rows,True,False,False,False,False,True,False,False
realhit,Qwen3.5-9B,286,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,287,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,288,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,289,Numerical Reasoning,5,latex+markdown+json_cells+json_rows+image,True,True,True,True,True,True,True,False
realhit,Qwen3.5-9B,291,Fact Checking,3,latex+markdown+excel_1_image,True,True,True,True,False,False,False,True
realhit,Qwen3.5-9B,292,Fact Checking,5,markdown+json_cells+json_rows+image+excel_1_image,True,True,False,True,True,True,True,True
realhit,Qwen3.5-9B,296,Numerical Reasoning,5,latex+json_cells+json_rows+image+excel_1_image,True,True,True,False,True,True,True,True
realhit,Qwen3.5-9B,297,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,298,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,301,Fact Checking,4,latex+markdown+image+excel_1_image,True,True,True,True,False,False,True,True
realhit,Qwen3.5-9B,302,Fact Checking,1,json_cells,True,True,False,False,True,False,False,False
realhit,Qwen3.5-9B,303,Fact Checking,1,image,True,False,False,False,False,False,True,False
realhit,Qwen3.5-9B,306,Fact Checking,4,latex+markdown+image+excel_1_image,True,True,True,True,False,False,True,True
realhit,Qwen3.5-9B,307,Fact Checking,4,latex+json_rows+image+excel_1_image,True,True,True,False,False,True,True,True
realhit,Qwen3.5-9B,308,Fact Checking,5,latex+markdown+json_cells+image+excel_1_image,True,True,True,True,True,False,True,True
realhit,Qwen3.5-9B,311,Fact Checking,3,json_cells+image+excel_1_image,True,True,False,False,True,False,True,True
realhit,Qwen3.5-9B,312,Fact Checking,0,none,False,False,False,False,False,False,False,False
realhit,Qwen3.5-9B,313,Fact Checking,1,excel_1_image,True,False,False,False,False,False,False,True
realhit,Qwen3.5-9B,316,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,317,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,318,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,321,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,322,Fact Checking,0,none,False,False,False,False,False,False,False,False
realhit,Qwen3.5-9B,323,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,326,Fact Checking,2,latex+markdown,True,False,True,True,False,False,False,False
realhit,Qwen3.5-9B,327,Fact Checking,5,markdown+json_cells+json_rows+image+excel_1_image,True,True,False,True,True,True,True,True
realhit,Qwen3.5-9B,328,Fact Checking,5,latex+json_cells+json_rows+image+excel_1_image,True,True,True,False,True,True,True,True
realhit,Qwen3.5-9B,331,Numerical Reasoning,0,none,False,False,False,False,False,False,False,False
realhit,Qwen3.5-9B,332,Fact Checking,2,markdown+excel_1_image,True,False,False,True,False,False,False,True
realhit,Qwen3.5-9B,333,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
